z_m,phi_V,E_C_J,E_V_J,n_m3,p_m3
4.300000000000000123e-07,-1.191145704439673825e+00,-4.579674184657285193e-19,-6.381153992349591993e-19,2.466259262112529826e-01,3.870051068120031258e+35
4.324999999999999884e-07,-1.184500210422624100e+00,-4.590321439892788054e-19,-6.391801247585096780e-19,2.466259262112529826e-01,2.992797345311058848e+35
4.350000000000000174e-07,-1.177371406358038941e+00,-4.601743043193431118e-19,-6.403222850885738881e-19,2.466259262112529826e-01,2.271531023527627111e+35
4.374999999999999934e-07,-1.169759292245918347e+00,-4.613938994559212460e-19,-6.415418802251520222e-19,2.466259262112529826e-01,1.692157502315574802e+35
4.400000000000000224e-07,-1.161663868086262319e+00,-4.626909293990132079e-19,-6.428389101682439841e-19,2.466259262112529826e-01,1.237210632076516770e+35
4.424999999999999985e-07,-1.153085133879070856e+00,-4.640653941486190938e-19,-6.442133749178498701e-19,2.466259262112529826e-01,8.878247582550955665e+34
4.450000000000000275e-07,-1.144023089624343736e+00,-4.655172937047389038e-19,-6.456652744739696800e-19,2.466259262112529826e-01,6.253045785023822610e+34
4.475000000000000036e-07,-1.134477735322081182e+00,-4.670466280673725415e-19,-6.471946088366033178e-19,2.466259262112529826e-01,4.322517039969110863e+34
4.500000000000000326e-07,-1.124449070972283193e+00,-4.686533972365200070e-19,-6.488013780057507832e-19,2.466259262112529826e-01,2.932665755168120317e+34
4.525000000000000086e-07,-1.113937096574949992e+00,-4.703376012121813965e-19,-6.504855819814121727e-19,2.466259262112529826e-01,1.952851278719676643e+34
4.549999999999999847e-07,-1.102941812130081134e+00,-4.720992399943566137e-19,-6.522472207635873900e-19,2.466259262112529826e-01,1.276311027082752964e+34
